y,ds
22.97058824,18-02-2020 04:00
22.97058824,18-02-2020 05:00
23.94117647,18-02-2020 06:00
25.55882353,18-02-2020 09:00
25.88235294,18-02-2020 10:00
26.20588235,18-02-2020 11:00
28.14705882,18-02-2020 13:00
29.11764706,18-02-2020 14:00
29.44117647,18-02-2020 15:00
28.14705882,18-02-2020 18:00
28.47058824,18-02-2020 19:00
29.44117647,18-02-2020 00:00
27.5,18-02-2020 00:00
27.17647059,18-02-2020 02:00
26.85294118,18-02-2020 03:00
26.85294118,18-02-2020 04:00
27.17647059,18-02-2020 05:00
27.17647059,18-02-2020 06:00
26.85294118,18-02-2020 07:00
26.85294118,18-02-2020 08:00
26.85294118,18-02-2020 09:00
26.52941176,18-02-2020 10:00
24.58823529,18-02-2020 13:00
24.58823529,18-02-2020 14:00
24.91176471,18-02-2020 15:00
25.88235294,18-02-2020 16:00
25.55882353,18-02-2020 17:00
25.55882353,18-02-2020 18:00
25.55882353,18-02-2020 19:00
25.55882353,18-02-2020 20:00
25.88235294,18-02-2020 21:00
26.20588235,18-02-2020 22:00
26.20588235,18-02-2020 23:00
25.23529412,18-02-2020 02:00
24.91176471,18-02-2020 03:00
26.20588235,18-02-2020 05:00
26.85294118,18-02-2020 06:00
28.47058824,18-02-2020 07:00
29.76470588,18-02-2020 10:00
29.44117647,18-02-2020 11:00
28.79411765,18-02-2020 13:00
31.05882353,18-02-2020 15:00
31.05882353,18-02-2020 16:00
32.67647059,18-02-2020 17:00
33,18-02-2020 18:00
33,18-02-2020 19:00
32.02941176,18-02-2020 20:00
31.70588235,18-02-2020 21:00
31.05882353,18-02-2020 22:00
30.41176471,18-02-2020 23:00
30.08823529,18-02-2020 00:00
29.76470588,18-02-2020 00:00
26.85294118,18-02-2020 03:00
24.58823529,18-02-2020 05:00
26.52941176,18-02-2020 07:00
27.17647059,18-02-2020 08:00
26.85294118,18-02-2020 09:00
27.17647059,18-02-2020 10:00
27.5,18-02-2020 11:00
27.82352941,18-02-2020 12:00
27.17647059,18-02-2020 13:00
26.52941176,18-02-2020 14:00
26.20588235,18-02-2020 20:00
26.52941176,18-02-2020 21:00
26.52941176,18-02-2020 22:00
26.85294118,18-02-2020 23:00
27.82352941,18-02-2020 00:00
27.82352941,18-02-2020 00:00
